;cole_naturaleza;cole_bilingue;cole_calendario;cole_jornada;fami_tieneautomovil;fami_estratovivienda;fami_tieneinternet;fami_tienecomputador;estu_edad_cat;desemp_ingles;avg_punt_global
20881;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A1;High
20882;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A2;High
20883;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
20884;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20885;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
20886;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;>= 26;A-;Medium
20887;OFICIAL;N;A;MAÑANA;Si;Estrato 3;No;No;<= 25;A1;High
20888;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A-;Medium
20889;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A1;Medium
20890;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A2;Medium
20891;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A-;Medium
20892;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A1;High
20893;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;No;<= 25;A2;High
20894;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A1;Medium
20895;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;No;Si;<= 25;A2;Medium
20896;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
20897;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
20898;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;A2;Very High
20899;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;No;<= 25;B1;Very High
20900;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
20901;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20902;OFICIAL;N;A;TARDE;No;Estrato 1 y 2;Si;Si;<= 25;A2;Very High
20903;OFICIAL;N;A;TARDE;No;Estrato 3;Si;No;<= 25;A-;Low
20904;OFICIAL;N;A;TARDE;No;Estrato 3;Si;No;<= 25;A1;High
20905;OFICIAL;N;A;TARDE;No;Estrato 3;Si;No;<= 25;A2;High
20906;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A-;Medium
20907;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A1;High
20908;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;A2;High
20909;OFICIAL;N;A;TARDE;No;Estrato 3;Si;Si;<= 25;B1;Very High
20910;OFICIAL;N;A;TARDE;No;Estrato 4;Si;Si;<= 25;A1;High
20911;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;No;<= 25;A2;Medium
20912;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20913;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A-;Medium
20914;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A1;Medium
20915;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A2;Very High
20916;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;B1;Very High
20917;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A-;Low
20918;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A1;Medium
20919;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A2;Very High
20920;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A-;Low
20921;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A1;Medium
20922;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A2;High
20923;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;B1;Very High
20924;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
20925;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A1;High
20926;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A2;High
20927;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;B1;Very High
20928;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
20929;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20930;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
20931;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
20932;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
20933;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A-;Medium
